"emoji.chars","emoji.descriptions"
"<U+0001F995>","sauropod"
"<U+0001F996>","T-Rex"
"<U+0001F433>","spouting whale"
"<U+0001F40B>","whale"
"<U+0001F42C>","dolphin"
"<U+0001F41F>","fish"
"<U+0001F420>","tropical fish"
"<U+0001F421>","blowfish"
"<U+0001F988>","shark"
"<U+0001F419>","octopus"
"<U+0001F41A>","spiral shell"
"<U+0001F40C>","snail"
"<U+0001F98B>","butterfly"
"<U+0001F41B>","bug"
"<U+0001F41C>","ant"
"<U+0001F41D>","honeybee"
"<U+0001F41E>","lady beetle"
"<U+0001F997>","cricket"
"<U+0001F577><U+FE0F>","spider"
"<U+0001F577>","spider"
"<U+0001F578><U+FE0F>","spider web"
"<U+0001F578>","spider web"
"<U+0001F982>","scorpion"
"<U+0001F99F>","mosquito"
"<U+0001F9A0>","microbe"
"<U+0001F490>","bouquet"
"<U+0001F338>","cherry blossom"
"<U+0001F4AE>","white flower"
"<U+0001F3F5><U+FE0F>","rosette"
"<U+0001F3F5>","rosette"
"<U+0001F339>","rose"
"<U+0001F940>","wilted flower"
"<U+0001F33A>","hibiscus"
"<U+0001F33B>","sunflower"
"<U+0001F33C>","blossom"
"<U+0001F337>","tulip"
"<U+0001F331>","seedling"
"<U+0001F332>","evergreen tree"
"<U+0001F333>","deciduous tree"
"<U+0001F334>","palm tree"
"<U+0001F335>","cactus"
"<U+0001F33E>","sheaf of rice"
"<U+0001F33F>","herb"
"<U+2618><U+FE0F>","shamrock"
"<U+2618>","shamrock"
"<U+0001F340>","four leaf clover"
"<U+0001F341>","maple leaf"
"<U+0001F342>","fallen leaf"
"<U+0001F343>","leaf fluttering in wind"
"<U+0001F347>","grapes"
"<U+0001F348>","melon"
"<U+0001F349>","watermelon"
"<U+0001F34A>","tangerine"
"<U+0001F34B>","lemon"
"<U+0001F34C>","banana"
"<U+0001F34D>","pineapple"
"<U+0001F96D>","mango"
"<U+0001F34E>","red apple"
"<U+0001F34F>","green apple"
"<U+0001F350>","pear"
"<U+0001F351>","peach"
"<U+0001F352>","cherries"
"<U+0001F353>","strawberry"
"<U+0001F95D>","kiwi fruit"
"<U+0001F345>","tomato"
"<U+0001F965>","coconut"
"<U+0001F951>","avocado"
"<U+0001F346>","eggplant"
"<U+0001F954>","potato"
"<U+0001F955>","carrot"
"<U+0001F33D>","ear of corn"
"<U+0001F336><U+FE0F>","hot pepper"
"<U+0001F336>","hot pepper"
"<U+0001F952>","cucumber"
"<U+0001F96C>","leafy green"
"<U+0001F966>","broccoli"
"<U+0001F9C4>","garlic"
"<U+0001F9C5>","onion"
"<U+0001F344>","mushroom"
"<U+0001F95C>","peanuts"
"<U+0001F330>","chestnut"
"<U+0001F35E>","bread"
"<U+0001F950>","croissant"
"<U+0001F956>","baguette bread"
"<U+0001F968>","pretzel"
"<U+0001F96F>","bagel"
"<U+0001F95E>","pancakes"
"<U+0001F9C7>","waffle"
"<U+0001F9C0>","cheese wedge"
"<U+0001F356>","meat on bone"
"<U+0001F357>","poultry leg"
"<U+0001F969>","cut of meat"
"<U+0001F953>","bacon"
"<U+0001F354>","hamburger"
"<U+0001F35F>","french fries"
"<U+0001F355>","pizza"
"<U+0001F32D>","hot dog"
"<U+0001F96A>","sandwich"
"<U+0001F32E>","taco"
"<U+0001F32F>","burrito"
"<U+0001F959>","stuffed flatbread"
"<U+0001F9C6>","falafel"
"<U+0001F95A>","egg"
"<U+0001F373>","cooking"
"<U+0001F958>","shallow pan of food"
"<U+0001F372>","pot of food"
"<U+0001F963>","bowl with spoon"
"<U+0001F957>","green salad"
"<U+0001F37F>","popcorn"
"<U+0001F9C8>","butter"
"<U+0001F9C2>","salt"
"<U+0001F96B>","canned food"
"<U+0001F371>","bento box"
"<U+0001F358>","rice cracker"
"<U+0001F359>","rice ball"
"<U+0001F35A>","cooked rice"
"<U+0001F35B>","curry rice"
"<U+0001F35C>","steaming bowl"
"<U+0001F35D>","spaghetti"
"<U+0001F360>","roasted sweet potato"
"<U+0001F362>","oden"
"<U+0001F363>","sushi"
"<U+0001F364>","fried shrimp"
"<U+0001F365>","fish cake with swirl"
"<U+0001F96E>","moon cake"
"<U+0001F361>","dango"
"<U+0001F95F>","dumpling"
"<U+0001F960>","fortune cookie"
"<U+0001F961>","takeout box"
"<U+0001F980>","crab"
"<U+0001F99E>","lobster"
"<U+0001F990>","shrimp"
"<U+0001F991>","squid"
"<U+0001F9AA>","oyster"
"<U+0001F366>","soft ice cream"
"<U+0001F367>","shaved ice"
"<U+0001F368>","ice cream"
"<U+0001F369>","doughnut"
"<U+0001F36A>","cookie"
"<U+0001F382>","birthday cake"
"<U+0001F370>","shortcake"
"<U+0001F9C1>","cupcake"
"<U+0001F967>","pie"
"<U+0001F36B>","chocolate bar"
"<U+0001F36C>","candy"
"<U+0001F36D>","lollipop"
"<U+0001F36E>","custard"
"<U+0001F36F>","honey pot"
"<U+0001F37C>","baby bottle"
"<U+0001F95B>","glass of milk"
"<U+2615>","hot beverage"
"<U+0001F375>","teacup without handle"
"<U+0001F376>","sake"
"<U+0001F37E>","bottle with popping cork"
"<U+0001F377>","wine glass"
"<U+0001F378>","cocktail glass"
"<U+0001F379>","tropical drink"
"<U+0001F37A>","beer mug"
"<U+0001F37B>","clinking beer mugs"
"<U+0001F942>","clinking glasses"
"<U+0001F943>","tumbler glass"
"<U+0001F964>","cup with straw"
"<U+0001F9C3>","beverage box"
"<U+0001F9C9>","mate"
"<U+0001F9CA>","ice cube"
"<U+0001F962>","chopsticks"
"<U+0001F37D><U+FE0F>","fork and knife with plate"
"<U+0001F37D>","fork and knife with plate"
"<U+0001F374>","fork and knife"
"<U+0001F944>","spoon"
"<U+0001F52A>","kitchen knife"
"<U+0001F3FA>","amphora"
"<U+0001F30D>","globe showing Europe-Africa"
"<U+0001F30E>","globe showing Americas"
"<U+0001F30F>","globe showing Asia-Australia"
"<U+0001F310>","globe with meridians"
"<U+0001F5FA><U+FE0F>","world map"
"<U+0001F5FA>","world map"
"<U+0001F5FE>","map of Japan"
"<U+0001F9ED>","compass"
"<U+0001F3D4><U+FE0F>","snow-capped mountain"
"<U+0001F3D4>","snow-capped mountain"
"<U+26F0><U+FE0F>","mountain"
"<U+26F0>","mountain"
"<U+0001F30B>","volcano"
"<U+0001F5FB>","mount fuji"
"<U+0001F3D5><U+FE0F>","camping"
"<U+0001F3D5>","camping"
"<U+0001F3D6><U+FE0F>","beach with umbrella"
"<U+0001F3D6>","beach with umbrella"
"<U+0001F3DC><U+FE0F>","desert"
"<U+0001F3DC>","desert"
"<U+0001F3DD><U+FE0F>","desert island"
"<U+0001F3DD>","desert island"
"<U+0001F3DE><U+FE0F>","national park"
"<U+0001F3DE>","national park"
"<U+0001F3DF><U+FE0F>","stadium"
"<U+0001F3DF>","stadium"
"<U+0001F3DB><U+FE0F>","classical building"
"<U+0001F3DB>","classical building"
"<U+0001F3D7><U+FE0F>","building construction"
"<U+0001F3D7>","building construction"
"<U+0001F9F1>","brick"
"<U+0001F3D8><U+FE0F>","houses"
"<U+0001F3D8>","houses"
"<U+0001F3DA><U+FE0F>","derelict house"
"<U+0001F3DA>","derelict house"
"<U+0001F3E0>","house"
"<U+0001F3E1>","house with garden"
"<U+0001F3E2>","office building"
"<U+0001F3E3>","Japanese post office"
"<U+0001F3E4>","post office"
"<U+0001F3E5>","hospital"
"<U+0001F3E6>","bank"
"<U+0001F3E8>","hotel"
"<U+0001F3E9>","love hotel"
"<U+0001F3EA>","convenience store"
"<U+0001F3EB>","school"
"<U+0001F3EC>","department store"
"<U+0001F3ED>","factory"
"<U+0001F3EF>","Japanese castle"
"<U+0001F3F0>","castle"
"<U+0001F492>","wedding"
"<U+0001F5FC>","Tokyo tower"
"<U+0001F5FD>","Statue of Liberty"
"<U+26EA>","church"
"<U+0001F54C>","mosque"
"<U+0001F6D5>","hindu temple"
"<U+0001F54D>","synagogue"
"<U+26E9><U+FE0F>","shinto shrine"
"<U+26E9>","shinto shrine"
"<U+0001F54B>","kaaba"
"<U+26F2>","fountain"
"<U+26FA>","tent"
"<U+0001F301>","foggy"
"<U+0001F303>","night with stars"
"<U+0001F3D9><U+FE0F>","cityscape"
"<U+0001F3D9>","cityscape"
"<U+0001F304>","sunrise over mountains"
"<U+0001F305>","sunrise"
"<U+0001F306>","cityscape at dusk"
"<U+0001F307>","sunset"
"<U+0001F309>","bridge at night"
"<U+2668><U+FE0F>","hot springs"
"<U+2668>","hot springs"
"<U+0001F3A0>","carousel horse"
"<U+0001F3A1>","ferris wheel"
"<U+0001F3A2>","roller coaster"
"<U+0001F488>","barber pole"
"<U+0001F3AA>","circus tent"
"<U+0001F682>","locomotive"
"<U+0001F683>","railway car"
"<U+0001F684>","high-speed train"
"<U+0001F685>","bullet train"
"<U+0001F686>","train"
"<U+0001F687>","metro"
"<U+0001F688>","light rail"
"<U+0001F689>","station"
"<U+0001F68A>","tram"
"<U+0001F69D>","monorail"
"<U+0001F69E>","mountain railway"
"<U+0001F68B>","tram car"
"<U+0001F68C>","bus"
"<U+0001F68D>","oncoming bus"
"<U+0001F68E>","trolleybus"
"<U+0001F690>","minibus"
"<U+0001F691>","ambulance"
"<U+0001F692>","fire engine"
"<U+0001F693>","police car"
"<U+0001F694>","oncoming police car"
"<U+0001F695>","taxi"
"<U+0001F696>","oncoming taxi"
"<U+0001F697>","automobile"
"<U+0001F698>","oncoming automobile"
"<U+0001F699>","sport utility vehicle"
"<U+0001F69A>","delivery truck"
"<U+0001F69B>","articulated lorry"
"<U+0001F69C>","tractor"
"<U+0001F3CE><U+FE0F>","racing car"
"<U+0001F3CE>","racing car"
"<U+0001F3CD><U+FE0F>","motorcycle"
"<U+0001F3CD>","motorcycle"
"<U+0001F6F5>","motor scooter"
"<U+0001F9BD>","manual wheelchair"
"<U+0001F9BC>","motorized wheelchair"
"<U+0001F6FA>","auto rickshaw"
"<U+0001F6B2>","bicycle"
"<U+0001F6F4>","kick scooter"
"<U+0001F6F9>","skateboard"
"<U+0001F68F>","bus stop"
"<U+0001F6E3><U+FE0F>","motorway"
"<U+0001F6E3>","motorway"
"<U+0001F6E4><U+FE0F>","railway track"
"<U+0001F6E4>","railway track"
"<U+0001F6E2><U+FE0F>","oil drum"
"<U+0001F6E2>","oil drum"
"<U+26FD>","fuel pump"
"<U+0001F6A8>","police car light"
"<U+0001F6A5>","horizontal traffic light"
"<U+0001F6A6>","vertical traffic light"
"<U+0001F6D1>","stop sign"
"<U+0001F6A7>","construction"
"<U+2693>","anchor"
"<U+26F5>","sailboat"
"<U+0001F6F6>","canoe"
"<U+0001F6A4>","speedboat"
"<U+0001F6F3><U+FE0F>","passenger ship"
"<U+0001F6F3>","passenger ship"
"<U+26F4><U+FE0F>","ferry"
"<U+26F4>","ferry"
"<U+0001F6E5><U+FE0F>","motor boat"
"<U+0001F6E5>","motor boat"
"<U+0001F6A2>","ship"
"<U+2708><U+FE0F>","airplane"
"<U+2708>","airplane"
"<U+0001F6E9><U+FE0F>","small airplane"
"<U+0001F6E9>","small airplane"
"<U+0001F6EB>","airplane departure"
"<U+0001F6EC>","airplane arrival"
"<U+0001FA82>","parachute"
"<U+0001F4BA>","seat"
"<U+0001F681>","helicopter"
"<U+0001F69F>","suspension railway"
"<U+0001F6A0>","mountain cableway"
"<U+0001F6A1>","aerial tramway"
"<U+0001F6F0><U+FE0F>","satellite"
"<U+0001F6F0>","satellite"
"<U+0001F680>","rocket"
"<U+0001F6F8>","flying saucer"
"<U+0001F6CE><U+FE0F>","bellhop bell"
"<U+0001F6CE>","bellhop bell"
"<U+0001F9F3>","luggage"
"<U+231B>","hourglass done"
"<U+23F3>","hourglass not done"
"<U+231A>","watch"
"<U+23F0>","alarm clock"
"<U+23F1><U+FE0F>","stopwatch"
"<U+23F1>","stopwatch"
"<U+23F2><U+FE0F>","timer clock"
"<U+23F2>","timer clock"
"<U+0001F570><U+FE0F>","mantelpiece clock"
"<U+0001F570>","mantelpiece clock"
"<U+0001F55B>","twelve o’clock"
"<U+0001F567>","twelve-thirty"
"<U+0001F550>","one o’clock"
"<U+0001F55C>","one-thirty"
"<U+0001F551>","two o’clock"
"<U+0001F55D>","two-thirty"
"<U+0001F552>","three o’clock"
"<U+0001F55E>","three-thirty"
"<U+0001F553>","four o’clock"
"<U+0001F55F>","four-thirty"
"<U+0001F554>","five o’clock"
"<U+0001F560>","five-thirty"
"<U+0001F555>","six o’clock"
"<U+0001F561>","six-thirty"
"<U+0001F556>","seven o’clock"
"<U+0001F562>","seven-thirty"
"<U+0001F557>","eight o’clock"
"<U+0001F563>","eight-thirty"
"<U+0001F558>","nine o’clock"
"<U+0001F564>","nine-thirty"
"<U+0001F559>","ten o’clock"
"<U+0001F565>","ten-thirty"
"<U+0001F55A>","eleven o’clock"
"<U+0001F566>","eleven-thirty"
"<U+0001F311>","new moon"
"<U+0001F312>","waxing crescent moon"
"<U+0001F313>","first quarter moon"
"<U+0001F314>","waxing gibbous moon"
"<U+0001F315>","full moon"
"<U+0001F316>","waning gibbous moon"
"<U+0001F317>","last quarter moon"
"<U+0001F318>","waning crescent moon"
"<U+0001F319>","crescent moon"
"<U+0001F31A>","new moon face"
"<U+0001F31B>","first quarter moon face"
"<U+0001F31C>","last quarter moon face"
"<U+0001F321><U+FE0F>","thermometer"
"<U+0001F321>","thermometer"
"<U+2600><U+FE0F>","sun"
"<U+2600>","sun"
"<U+0001F31D>","full moon face"
"<U+0001F31E>","sun with face"
"<U+0001FA90>","ringed planet"
"<U+2B50>","star"
"<U+0001F31F>","glowing star"
"<U+0001F320>","shooting star"
"<U+0001F30C>","milky way"
"<U+2601><U+FE0F>","cloud"
"<U+2601>","cloud"
"<U+26C5>","sun behind cloud"
"<U+26C8><U+FE0F>","cloud with lightning and rain"
"<U+26C8>","cloud with lightning and rain"
"<U+0001F324><U+FE0F>","sun behind small cloud"
"<U+0001F324>","sun behind small cloud"
"<U+0001F325><U+FE0F>","sun behind large cloud"
"<U+0001F325>","sun behind large cloud"
"<U+0001F326><U+FE0F>","sun behind rain cloud"
"<U+0001F326>","sun behind rain cloud"
"<U+0001F327><U+FE0F>","cloud with rain"
"<U+0001F327>","cloud with rain"
"<U+0001F328><U+FE0F>","cloud with snow"
"<U+0001F328>","cloud with snow"
"<U+0001F329><U+FE0F>","cloud with lightning"
"<U+0001F329>","cloud with lightning"
"<U+0001F32A><U+FE0F>","tornado"
"<U+0001F32A>","tornado"
"<U+0001F32B><U+FE0F>","fog"
"<U+0001F32B>","fog"
"<U+0001F32C><U+FE0F>","wind face"
"<U+0001F32C>","wind face"
"<U+0001F300>","cyclone"
"<U+0001F308>","rainbow"
"<U+0001F302>","closed umbrella"
"<U+2602><U+FE0F>","umbrella"
"<U+2602>","umbrella"
"<U+2614>","umbrella with rain drops"
"<U+26F1><U+FE0F>","umbrella on ground"
"<U+26F1>","umbrella on ground"
"<U+26A1>","high voltage"
"<U+2744><U+FE0F>","snowflake"
"<U+2744>","snowflake"
"<U+2603><U+FE0F>","snowman"
"<U+2603>","snowman"
"<U+26C4>","snowman without snow"
"<U+2604><U+FE0F>","comet"
"<U+2604>","comet"
"<U+0001F525>","fire"
"<U+0001F4A7>","droplet"
"<U+0001F30A>","water wave"
"<U+0001F383>","jack-o-lantern"
"<U+0001F384>","Christmas tree"
"<U+0001F386>","fireworks"
"<U+0001F387>","sparkler"
"<U+0001F9E8>","firecracker"
"<U+2728>","sparkles"
"<U+0001F388>","balloon"
"<U+0001F389>","party popper"
"<U+0001F38A>","confetti ball"
"<U+0001F38B>","tanabata tree"
"<U+0001F38D>","pine decoration"
"<U+0001F38E>","Japanese dolls"
"<U+0001F38F>","carp streamer"
"<U+0001F390>","wind chime"
"<U+0001F391>","moon viewing ceremony"
"<U+0001F9E7>","red envelope"
"<U+0001F380>","ribbon"
"<U+0001F381>","wrapped gift"
"<U+0001F397><U+FE0F>","reminder ribbon"
"<U+0001F397>","reminder ribbon"
"<U+0001F39F><U+FE0F>","admission tickets"
"<U+0001F39F>","admission tickets"
"<U+0001F3AB>","ticket"
"<U+0001F396><U+FE0F>","military medal"
"<U+0001F396>","military medal"
"<U+0001F3C6>","trophy"
"<U+0001F3C5>","sports medal"
"<U+0001F947>","1st place medal"
"<U+0001F948>","2nd place medal"
"<U+0001F949>","3rd place medal"
"<U+26BD>","soccer ball"
"<U+26BE>","baseball"
"<U+0001F94E>","softball"
"<U+0001F3C0>","basketball"
"<U+0001F3D0>","volleyball"
"<U+0001F3C8>","american football"
"<U+0001F3C9>","rugby football"
"<U+0001F3BE>","tennis"
"<U+0001F94F>","flying disc"
"<U+0001F3B3>","bowling"
"<U+0001F3CF>","cricket game"
"<U+0001F3D1>","field hockey"
"<U+0001F3D2>","ice hockey"
"<U+0001F94D>","lacrosse"
"<U+0001F3D3>","ping pong"
"<U+0001F3F8>","badminton"
"<U+0001F94A>","boxing glove"
"<U+0001F94B>","martial arts uniform"
"<U+0001F945>","goal net"
"<U+26F3>","flag in hole"
"<U+26F8><U+FE0F>","ice skate"
"<U+26F8>","ice skate"
"<U+0001F3A3>","fishing pole"
"<U+0001F93F>","diving mask"
"<U+0001F3BD>","running shirt"
"<U+0001F3BF>","skis"
"<U+0001F6F7>","sled"
"<U+0001F94C>","curling stone"
"<U+0001F3AF>","direct hit"
"<U+0001FA80>","yo-yo"
"<U+0001FA81>","kite"
"<U+0001F3B1>","pool 8 ball"
"<U+0001F52E>","crystal ball"
"<U+0001F9FF>","nazar amulet"
"<U+0001F3AE>","video game"
"<U+0001F579><U+FE0F>","joystick"
"<U+0001F579>","joystick"
"<U+0001F3B0>","slot machine"
"<U+0001F3B2>","game die"
"<U+0001F9E9>","puzzle piece"
"<U+0001F9F8>","teddy bear"
"<U+2660><U+FE0F>","spade suit"
"<U+2660>","spade suit"
"<U+2665><U+FE0F>","heart suit"
"<U+2665>","heart suit"
"<U+2666><U+FE0F>","diamond suit"
"<U+2666>","diamond suit"
"<U+2663><U+FE0F>","club suit"
"<U+2663>","club suit"
"<U+265F><U+FE0F>","chess pawn"
"<U+265F>","chess pawn"
"<U+0001F0CF>","joker"
"<U+0001F004>","mahjong red dragon"
"<U+0001F3B4>","flower playing cards"
"<U+0001F3AD>","performing arts"
"<U+0001F5BC><U+FE0F>","framed picture"
"<U+0001F5BC>","framed picture"
"<U+0001F3A8>","artist palette"
"<U+0001F9F5>","thread"
"<U+0001F9F6>","yarn"
"<U+0001F453>","glasses"
"<U+0001F576><U+FE0F>","sunglasses"
"<U+0001F576>","sunglasses"
"<U+0001F97D>","goggles"
"<U+0001F97C>","lab coat"
"<U+0001F9BA>","safety vest"
"<U+0001F454>","necktie"
"<U+0001F455>","t-shirt"
"<U+0001F456>","jeans"
"<U+0001F9E3>","scarf"
"<U+0001F9E4>","gloves"
"<U+0001F9E5>","coat"
"<U+0001F9E6>","socks"
"<U+0001F457>","dress"
"<U+0001F458>","kimono"
"<U+0001F97B>","sari"
"<U+0001FA71>","one-piece swimsuit"
"<U+0001FA72>","swim brief"
"<U+0001FA73>","shorts"
"<U+0001F459>","bikini"
"<U+0001F45A>","woman’s clothes"
"<U+0001F45B>","purse"
"<U+0001F45C>","handbag"
"<U+0001F45D>","clutch bag"
"<U+0001F6CD><U+FE0F>","shopping bags"
"<U+0001F6CD>","shopping bags"
"<U+0001F392>","backpack"
"<U+0001F45E>","man’s shoe"
"<U+0001F45F>","running shoe"
"<U+0001F97E>","hiking boot"
"<U+0001F97F>","flat shoe"
"<U+0001F460>","high-heeled shoe"
"<U+0001F461>","woman’s sandal"
"<U+0001FA70>","ballet shoes"
"<U+0001F462>","woman’s boot"
"<U+0001F451>","crown"
"<U+0001F452>","woman’s hat"
"<U+0001F3A9>","top hat"
"<U+0001F393>","graduation cap"
"<U+0001F9E2>","billed cap"
"<U+26D1><U+FE0F>","rescue worker’s helmet"
"<U+26D1>","rescue worker’s helmet"
"<U+0001F4FF>","prayer beads"
"<U+0001F484>","lipstick"
"<U+0001F48D>","ring"
"<U+0001F48E>","gem stone"
"<U+0001F507>","muted speaker"
"<U+0001F508>","speaker low volume"
"<U+0001F509>","speaker medium volume"
"<U+0001F50A>","speaker high volume"
"<U+0001F4E2>","loudspeaker"
"<U+0001F4E3>","megaphone"
"<U+0001F4EF>","postal horn"
"<U+0001F514>","bell"
"<U+0001F515>","bell with slash"
"<U+0001F3BC>","musical score"
"<U+0001F3B5>","musical note"
"<U+0001F3B6>","musical notes"
"<U+0001F399><U+FE0F>","studio microphone"
"<U+0001F399>","studio microphone"
"<U+0001F39A><U+FE0F>","level slider"
"<U+0001F39A>","level slider"
"<U+0001F39B><U+FE0F>","control knobs"
"<U+0001F39B>","control knobs"
"<U+0001F3A4>","microphone"
"<U+0001F3A7>","headphone"
"<U+0001F4FB>","radio"
"<U+0001F3B7>","saxophone"
"<U+0001F3B8>","guitar"
"<U+0001F3B9>","musical keyboard"
"<U+0001F3BA>","trumpet"
"<U+0001F3BB>","violin"
"<U+0001FA95>","banjo"
"<U+0001F941>","drum"
"<U+0001F4F1>","mobile phone"
"<U+0001F4F2>","mobile phone with arrow"
"<U+260E><U+FE0F>","telephone"
"<U+260E>","telephone"
"<U+0001F4DE>","telephone receiver"
"<U+0001F4DF>","pager"
"<U+0001F4E0>","fax machine"
"<U+0001F50B>","battery"
"<U+0001F50C>","electric plug"
"<U+0001F4BB>","laptop computer"
"<U+0001F5A5><U+FE0F>","desktop computer"
"<U+0001F5A5>","desktop computer"
"<U+0001F5A8><U+FE0F>","printer"
"<U+0001F5A8>","printer"
"<U+2328><U+FE0F>","keyboard"
"<U+2328>","keyboard"
"<U+0001F5B1><U+FE0F>","computer mouse"
"<U+0001F5B1>","computer mouse"
"<U+0001F5B2><U+FE0F>","trackball"
"<U+0001F5B2>","trackball"
"<U+0001F4BD>","computer disk"
"<U+0001F4BE>","floppy disk"
"<U+0001F4BF>","optical disk"
"<U+0001F4C0>","dvd"
"<U+0001F9EE>","abacus"
"<U+0001F3A5>","movie camera"
"<U+0001F39E><U+FE0F>","film frames"
"<U+0001F39E>","film frames"
"<U+0001F4FD><U+FE0F>","film projector"
"<U+0001F4FD>","film projector"
"<U+0001F3AC>","clapper board"
"<U+0001F4FA>","television"
"<U+0001F4F7>","camera"
"<U+0001F4F8>","camera with flash"
"<U+0001F4F9>","video camera"
"<U+0001F4FC>","videocassette"
"<U+0001F50D>","magnifying glass tilted left"
"<U+0001F50E>","magnifying glass tilted right"
"<U+0001F56F><U+FE0F>","candle"
"<U+0001F56F>","candle"
"<U+0001F4A1>","light bulb"
"<U+0001F526>","flashlight"
"<U+0001F3EE>","red paper lantern"
"<U+0001FA94>","diya lamp"
"<U+0001F4D4>","notebook with decorative cover"
"<U+0001F4D5>","closed book"
"<U+0001F4D6>","open book"
"<U+0001F4D7>","green book"
"<U+0001F4D8>","blue book"
"<U+0001F4D9>","orange book"
"<U+0001F4DA>","books"
"<U+0001F4D3>","notebook"
"<U+0001F4D2>","ledger"
"<U+0001F4C3>","page with curl"
"<U+0001F4DC>","scroll"
"<U+0001F4C4>","page facing up"
"<U+0001F4F0>","newspaper"
"<U+0001F5DE><U+FE0F>","rolled-up newspaper"
"<U+0001F5DE>","rolled-up newspaper"
"<U+0001F4D1>","bookmark tabs"
"<U+0001F516>","bookmark"
"<U+0001F3F7><U+FE0F>","label"
"<U+0001F3F7>","label"
"<U+0001F4B0>","money bag"
"<U+0001F4B4>","yen banknote"
"<U+0001F4B5>","dollar banknote"
"<U+0001F4B6>","euro banknote"
"<U+0001F4B7>","pound banknote"
"<U+0001F4B8>","money with wings"
"<U+0001F4B3>","credit card"
"<U+0001F9FE>","receipt"
"<U+0001F4B9>","chart increasing with yen"
"<U+0001F4B1>","currency exchange"
"<U+0001F4B2>","heavy dollar sign"
"<U+2709><U+FE0F>","envelope"
"<U+2709>","envelope"
"<U+0001F4E7>","e-mail"
"<U+0001F4E8>","incoming envelope"
"<U+0001F4E9>","envelope with arrow"
"<U+0001F4E4>","outbox tray"
"<U+0001F4E5>","inbox tray"
"<U+0001F4E6>","package"
"<U+0001F4EB>","closed mailbox with raised flag"
"<U+0001F4EA>","closed mailbox with lowered flag"
"<U+0001F4EC>","open mailbox with raised flag"
"<U+0001F4ED>","open mailbox with lowered flag"
"<U+0001F4EE>","postbox"
"<U+0001F5F3><U+FE0F>","ballot box with ballot"
"<U+0001F5F3>","ballot box with ballot"
"<U+270F><U+FE0F>","pencil"
"<U+270F>","pencil"
"<U+2712><U+FE0F>","black nib"
"<U+2712>","black nib"
"<U+0001F58B><U+FE0F>","fountain pen"
"<U+0001F58B>","fountain pen"
"<U+0001F58A><U+FE0F>","pen"
"<U+0001F58A>","pen"
"<U+0001F58C><U+FE0F>","paintbrush"
"<U+0001F58C>","paintbrush"
"<U+0001F58D><U+FE0F>","crayon"
"<U+0001F58D>","crayon"
"<U+0001F4DD>","memo"
"<U+0001F4BC>","briefcase"
"<U+0001F4C1>","file folder"
"<U+0001F4C2>","open file folder"
"<U+0001F5C2><U+FE0F>","card index dividers"
"<U+0001F5C2>","card index dividers"
"<U+0001F4C5>","calendar"
"<U+0001F4C6>","tear-off calendar"
"<U+0001F5D2><U+FE0F>","spiral notepad"
"<U+0001F5D2>","spiral notepad"
"<U+0001F5D3><U+FE0F>","spiral calendar"
"<U+0001F5D3>","spiral calendar"
"<U+0001F4C7>","card index"
"<U+0001F4C8>","chart increasing"
"<U+0001F4C9>","chart decreasing"
"<U+0001F4CA>","bar chart"
"<U+0001F4CB>","clipboard"
"<U+0001F4CC>","pushpin"
"<U+0001F4CD>","round pushpin"
"<U+0001F4CE>","paperclip"
"<U+0001F587><U+FE0F>","linked paperclips"
"<U+0001F587>","linked paperclips"
"<U+0001F4CF>","straight ruler"
"<U+0001F4D0>","triangular ruler"
"<U+2702><U+FE0F>","scissors"
"<U+2702>","scissors"
"<U+0001F5C3><U+FE0F>","card file box"
"<U+0001F5C3>","card file box"
"<U+0001F5C4><U+FE0F>","file cabinet"
"<U+0001F5C4>","file cabinet"
"<U+0001F5D1><U+FE0F>","wastebasket"
"<U+0001F5D1>","wastebasket"
"<U+0001F512>","locked"
"<U+0001F513>","unlocked"
"<U+0001F50F>","locked with pen"
"<U+0001F510>","locked with key"
"<U+0001F511>","key"
"<U+0001F5DD><U+FE0F>","old key"
"<U+0001F5DD>","old key"
"<U+0001F528>","hammer"
"<U+0001FA93>","axe"
"<U+26CF><U+FE0F>","pick"
"<U+26CF>","pick"
"<U+2692><U+FE0F>","hammer and pick"
"<U+2692>","hammer and pick"
"<U+0001F6E0><U+FE0F>","hammer and wrench"
"<U+0001F6E0>","hammer and wrench"
"<U+0001F5E1><U+FE0F>","dagger"
"<U+0001F5E1>","dagger"
"<U+2694><U+FE0F>","crossed swords"
"<U+2694>","crossed swords"
"<U+0001F52B>","pistol"
"<U+0001F3F9>","bow and arrow"
"<U+0001F6E1><U+FE0F>","shield"
"<U+0001F6E1>","shield"
"<U+0001F527>","wrench"
"<U+0001F529>","nut and bolt"
"<U+2699><U+FE0F>","gear"
"<U+2699>","gear"
"<U+0001F5DC><U+FE0F>","clamp"
"<U+0001F5DC>","clamp"
"<U+2696><U+FE0F>","balance scale"
"<U+2696>","balance scale"
"<U+0001F9AF>","probing cane"
"<U+0001F517>","link"
"<U+26D3><U+FE0F>","chains"
"<U+26D3>","chains"
"<U+0001F9F0>","toolbox"
"<U+0001F9F2>","magnet"
"<U+2697><U+FE0F>","alembic"
"<U+2697>","alembic"
"<U+0001F9EA>","test tube"
"<U+0001F9EB>","petri dish"
"<U+0001F9EC>","dna"
"<U+0001F52C>","microscope"
"<U+0001F52D>","telescope"
"<U+0001F4E1>","satellite antenna"
"<U+0001F489>","syringe"
